api_number,well_name,operator,job_number,job_type,county,state,shl,latitude,longitude,datum,well_status,well_type,closest_city,oil_bbl,gas_mcf,source_pdf,stimulation
33-053-05954,|\Wade Federal 5300 41-30 6B After,Oasis Petroleum North America,N/A,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,910 F S L 280 F WL,48.041292,-103.603006,North American Datum 1983,N/A,N/A,N/A,0.0,0.0,W28425.pdf,"[{""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10032.0, ""bottom_ft"": 20425.0, ""stimulation_stages"": 188339.0, ""volume"": 9170249.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Acid"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 60.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10032.0, ""bottom_ft"": 20425.0, ""stimulation_stages"": 188339.0, ""volume"": 9170249.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Acid"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 60.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10032.0, ""bottom_ft"": 20425.0, ""stimulation_stages"": 188339.0, ""volume"": 9170249.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Acid"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 60.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10032.0, ""bottom_ft"": 20425.0, ""stimulation_stages"": 188339.0, ""volume"": 9170249.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Acid"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 60.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""Name"", ""top_ft"": 5300.0, ""bottom_ft"": 4130.0, ""stimulation_stages"": 910.0, ""volume"": 280.0, ""volume_units"": ""MCF"", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-05995,Wade Federal 5300 31-30 2B,Oasis Petroleum North America LLC,N/A,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,1329 F S L 240 F W L,48.042383,-103.603169,North American Datum 1983,N/A,N/A,N/A,0.0,0.0,W28554.pdf,"[{""date_stimulated"": ""04/08/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 11034.0, ""bottom_ft"": 20595.0, ""stimulation_stages"": 215747.0, ""volume"": 9121901.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 40.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/08/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 11034.0, ""bottom_ft"": 20595.0, ""stimulation_stages"": 215747.0, ""volume"": 9121901.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 50.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 40.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""Well"", ""top_ft"": 5300.0, ""bottom_ft"": 3130.0, ""stimulation_stages"": 1329.0, ""volume"": 240.0, ""volume_units"": ""MCF"", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-05998,Wade Federal 5300 41-30 7T,Oasis Petroleum North America,N/A,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,1640 F N L 270 F W L SWNW,48.042383,-103.603169,North American Datum 1983,N/A,N/A,N/A,0.0,0.0,W28557.pdf,"[{""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11167.0, ""bottom_ft"": 20517.0, ""stimulation_stages"": 134353.0, ""volume"": 3973130.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 20.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""for"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": ""frac"", ""acid_pct"": 21.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/24/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11167.0, ""bottom_ft"": 20517.0, ""stimulation_stages"": 134353.0, ""volume"": 3973130.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 20.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""for"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": ""frac"", ""acid_pct"": 21.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06010,24-HOUR PRODUCTION RATE,Oasis Petroleum North America LLC,7798,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,926 F S L 245 F E L SESE,48.055692,-103.605722,NAD BS,N/A,N/A,N/A,0.0,0.0,W28599.pdf,"[{""date_stimulated"": ""10/30/2014"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10910.0, ""bottom_ft"": 20833.0, ""stimulation_stages"": 206015.0, ""volume"": 4076819.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 50.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/30/2013"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52814.0, ""bottom_ft"": 5301.0, ""stimulation_stages"": 4424.0, ""volume"": 153.0, ""volume_units"": ""lbs"", ""type_treatment"": """", ""acid_pct"": 28.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""10/30/2014"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 10910.0, ""bottom_ft"": 20833.0, ""stimulation_stages"": 206015.0, ""volume"": 4076819.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 50.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/30/2013"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52814.0, ""bottom_ft"": 960.0, ""stimulation_stages"": 200.0, ""volume"": 1800.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 28.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06011,~!8T1'3N P'>IOrw,Oasis Petroleum North America LLC,7789,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,877 F S L 245 F E L SESE,48.055558,-103.605722,NAD 83,N/A,N/A,N/A,0.0,0.0,W28600.pdf,"[{""date_stimulated"": ""11/25/2014"", ""stimulated_formation"": ""Three"", ""top_ft"": 11074.0, ""bottom_ft"": 20938.0, ""stimulation_stages"": 98038.0, ""volume"": 6229694.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 35.0, ""max_treatment_rate"": 5.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/26/2013"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52714.0, ""bottom_ft"": 5301.0, ""stimulation_stages"": 4424.0, ""volume"": 153.0, ""volume_units"": ""lbs"", ""type_treatment"": """", ""acid_pct"": 5.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""5-27-14"", ""stimulated_formation"": ""Oasis"", ""top_ft"": 5301.0, ""bottom_ft"": 4424.0, ""stimulation_stages"": 153.0, ""volume"": 101.0, ""volume_units"": ""lbs"", ""type_treatment"": """", ""acid_pct"": 44.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""11/25/2014"", ""stimulated_formation"": ""Three"", ""top_ft"": 11074.0, ""bottom_ft"": 20938.0, ""stimulation_stages"": 6229694.0, ""volume"": 8877.0, ""volume_units"": ""Lbs"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 35.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/26/2013"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52714.0, ""bottom_ft"": 106.0, ""stimulation_stages"": 200.0, ""volume"": 1800.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 5.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""5-27-14"", ""stimulated_formation"": ""samples"", ""top_ft"": 106.0, ""bottom_ft"": 200.0, ""stimulation_stages"": 1800.0, ""volume"": 5301.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 21.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06012,Name of Contractors),Oasis Petroleum North America,7664,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,844 F S L 245 F EL SESE,48.055467,-103.605153,N/A,N/A,N/A,N/A,0.0,0.0,W28601.pdf,"[{""date_stimulated"": ""11/25/2014"", ""stimulated_formation"": ""Three"", ""top_ft"": 11418.0, ""bottom_ft"": 21025.0, ""stimulation_stages"": 95600.0, ""volume"": 9370930.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 81.0, ""max_treatment_rate"": 1.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""3/24/2014"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52714.0, ""bottom_ft"": 5301.0, ""stimulation_stages"": 4424.0, ""volume"": 153.0, ""volume_units"": ""lbs"", ""type_treatment"": """", ""acid_pct"": 5.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""5-27-14"", ""stimulated_formation"": ""Oasis"", ""top_ft"": 5301.0, ""bottom_ft"": 4424.0, ""stimulation_stages"": 153.0, ""volume"": 101.0, ""volume_units"": ""lbs"", ""type_treatment"": """", ""acid_pct"": 44.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""11/25/2014"", ""stimulated_formation"": ""Three"", ""top_ft"": 11418.0, ""bottom_ft"": 21025.0, ""stimulation_stages"": 9370930.0, ""volume"": 9044.0, ""volume_units"": ""Lbs"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 81.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""3/24/2014"", ""stimulated_formation"": ""Engineering"", ""top_ft"": 52714.0, ""bottom_ft"": 5300.0, ""stimulation_stages"": 3119.0, ""volume"": 850.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 5.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""5-27-14"", ""stimulated_formation"": ""Request"", ""top_ft"": 5300.0, ""bottom_ft"": 3119.0, ""stimulation_stages"": 850.0, ""volume"": 153.0, ""volume_units"": ""lb"", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06018,24-HOUR PRODUCTION RATE,Oasis Petroleum North America LLC,8056,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,2127 F N L 327 F WL,48.061742,-103.602808,Mean Sea Level,N/A,N/A,N/A,0.0,0.0,W28633.pdf,"[{""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11140.0, ""bottom_ft"": 20904.0, ""stimulation_stages"": 206323.0, ""volume"": 4332421.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Acid"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 60.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 100.0, ""bottom_ft"": 276871.0, ""stimulation_stages"": 1760490.0, ""volume"": 2295360.0, ""volume_units"": """", ""type_treatment"": ""Acid"", ""acid_pct"": 40.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/27/2014"", ""stimulated_formation"": ""Rig"", ""top_ft"": 523.0, ""bottom_ft"": 523.0, ""stimulation_stages"": 850.0, ""volume"": 100.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 1.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06019,See below,Oasis Petroleum North America,8124,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,2160 F N L 327 F WL,48.061653,-103.602808,North American Datum 1983,N/A,N/A,N/A,0.0,0.0,W28634.pdf,"[{""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 11080.0, ""bottom_ft"": 20580.0, ""stimulation_stages"": 223578.0, ""volume"": 3879492.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 80.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""05/01/215"", ""stimulated_formation"": ""Redrilling"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": ""Fracture"", ""acid_pct"": 57.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Bakken"", ""top_ft"": 11080.0, ""bottom_ft"": 20580.0, ""stimulation_stages"": 223578.0, ""volume"": 3879492.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 80.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""9/30/14"", ""stimulated_formation"": ""Skid"", ""top_ft"": 5300.0, ""bottom_ft"": 2119.0, ""stimulation_stages"": 130.0, ""volume"": 130.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 21.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-09"", ""stimulated_formation"": ""NDAC"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 3.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06021,24-HOUR PRODUCTION RATE,Oasis Petroleum North America,8158,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,2226 F N L 327 F WL,48.061472,-103.602808,North American Datum 19B3,N/A,N/A,N/A,0.0,0.0,W28636.pdf,"[{""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11165.0, ""bottom_ft"": 20511.0, ""stimulation_stages"": 96178.0, ""volume"": 4011690.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 10.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/25/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11165.0, ""bottom_ft"": 20511.0, ""stimulation_stages"": 96178.0, ""volume"": 4011690.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 10.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""10/5/2014"", ""stimulated_formation"": ""Rig"", ""top_ft"": 800.0, ""bottom_ft"": 800.0, ""stimulation_stages"": 800.0, ""volume"": 100.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 1.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""10/19/2014"", ""stimulated_formation"": ""Three"", ""top_ft"": 185.0, ""bottom_ft"": 5300.0, ""stimulation_stages"": 2119.0, ""volume"": 2014.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 15.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
33-053-06022,Chalmers 5300 21-19 10T,Oasis Petroleum North America LLC,8546,"Noticehasbeenprovidedtotheownerofany Thiswellisno, Notice has been provided to the owner of any, This well is not located within five hundred",Mckenzie,ND,2292 F N L 326 F W L,48.061292,-103.602808,North American Datum 1983,N/A,N/A,N/A,0.0,0.0,W28637.pdf,"[{""date_stimulated"": ""04/08/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11118.0, ""bottom_ft"": 20558.0, ""stimulation_stages"": 214367.0, ""volume"": 3828642.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 17.0, ""max_treatment_rate"": 7.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""1/14/2015"", ""stimulated_formation"": ""Nipple"", ""top_ft"": 410.0, ""bottom_ft"": 303.0, ""stimulation_stages"": 250.0, ""volume"": 669.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 1.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}, {""date_stimulated"": ""04/08/2015"", ""stimulated_formation"": ""Three"", ""top_ft"": 11118.0, ""bottom_ft"": 20558.0, ""stimulation_stages"": 214367.0, ""volume"": 3828642.0, ""volume_units"": ""Barrels"", ""type_treatment"": ""Frac"", ""acid_pct"": 36.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 17.0, ""max_treatment_rate"": 7.0, ""details"": """"}, {""date_stimulated"": ""43-02-03"", ""stimulated_formation"": ""requires"", ""top_ft"": 0.0, ""bottom_ft"": 0.0, ""stimulation_stages"": 0.0, ""volume"": 0.0, ""volume_units"": """", ""type_treatment"": """", ""acid_pct"": 31.0, ""lbs_proppant"": 0.0, ""max_treatment_pressure"": 0.0, ""max_treatment_rate"": 0.0, ""details"": """"}]"
